"entity_name","entity_id","team_name","year","runner_runs","fielder_runs","runner_runs_advances","runner_runs_thrown_out","runner_runs_hold","fielder_runs_advances","fielder_runs_thrown_out","fielder_runs_hold","n_opp_xb","n_att_xb","rate_att_xb","est_rate_att_generic_runner","est_rate_att_generic_fielder","n_out","n_safe","rate_safe","rate_safe_per_attempt"
"Peters, Tristan",671976,"CWS",2026,2.259023343087837,-1.5657124389326929,2.447203814015806,0,-0.1881804709279693,-1.8909442287558087,0,0.32523178982311557,69,27,0.39130434782608703,0.29343754219484863,0.33064089280330355,0,27,0.39130434782608703,1
"Hernández, Teoscar",606192,"LAD",2026,0.2429254125352259,0.3848927853862736,2.007000496892189,-0.8023643338024302,-0.9617107505545324,-1.6783952863044116,0.8417693998613021,1.2215186718293827,63,26,0.4126984126984127,0.3751649248135432,0.41755636522427664,1,25,0.39682539682539675,0.9615384615384616
"Mack, Joe",691788,"MIA",2026,-0.03987005529841166,-0.5526974437271592,0.4080321697379022,0,-0.44790222503631394,-0.7502745541954685,0,0.1975771104683094,38,10,0.26315789473684215,0.29576040829407907,0.23237744886458375,0,10,0.26315789473684215,1
"Edman, Tommy",669242,"LAD",2026,0.42132459593724003,0.2685757504531076,1.0435107414992109,0,-0.6221861455619708,-0.8497453676042959,0,1.1183211180574035,37,15,0.40540540540540543,0.4078183064174504,0.4902918595064757,0,15,0.40540540540540543,1
"Semien, Marcus",543760,"NYM",2026,0.7830987958620899,-0.540903702117267,1.551401447163057,0,-0.7683026513009673,-1.4175493309999816,0,0.8766456288827148,50,18,0.35999999999999993,0.3270143672569063,0.3484642957595616,0,18,0.35999999999999993,1
"Jensen, Carter",695600,"KC",2026,0.35883354951528734,-0.0013851657977016242,2.0372917375973882,-0.8064993737314982,-0.8719588143506031,-1.825144680730782,0.8182388335962426,1.005520681336838,80,32,0.4,0.379210363998681,0.3978575100411269,1,31,0.38749999999999996,0.96875
"Lewis, Royce",668904,"MIN",2026,0.9436349133482911,-0.9293418277013081,1.3150506035262088,0,-0.37141569017791737,-1.3792197853933472,0,0.4498779576920393,53,21,0.39622641509433965,0.3678072729298682,0.36843217527248884,0,21,0.39622641509433965,1
"Young, Jacob",696285,"WSH",2026,1.885011268797221,-0.9223647143143234,2.0572489393349027,0,-0.172237670537682,-1.4099137871834522,0,0.48754907286912863,59,25,0.42372881355932196,0.33163504843038266,0.40102840887288804,0,25,0.42372881355932196,1
"Vargas, Miguel",678246,"CWS",2026,0.5178305039997223,-0.2752645354364415,2.8656828537670322,-1.5931957236606173,-0.7546566261066929,-2.7876967825819055,1.586867859885852,0.9255643872596115,84,44,0.5238095238095237,0.4440423329008992,0.4571944387674522,2,42,0.49999999999999994,0.9545454545454546
"Yelich, Christian",592885,"MIL",2026,-0.06903417993220337,0.737310382057211,1.3974373191146219,-0.8911882827125905,-0.575283216334235,-1.1311876499973912,0.9781490042576435,0.8903490277969583,57,25,0.43859649122807026,0.4161964895865842,0.4623633641149451,1,24,0.42105263157894735,0.96
