player_id,position_name,age,v_burst_0_10,v_accel_10_45,v_top_45_90,runner_runs_tot,rate_att_xb,rate_safe,n_sb,n_cs,sb_attempts,sb_success_rate
678882,CF,25,11.627906976744185,24.137931034482754,29.22077922077922,1.7615605651559076,0.4148936170212766,0.4042553191489362,12,6,18,0.6666666666666666
670042,RF,31,11.764705882352942,23.809523809523814,28.481012658227847,0.2516520472777727,0.3799999999999999,0.3799999999999999,1,2,3,0.3333333333333333
608070,3B,33,11.494252873563218,23.489932885906043,28.846153846153847,3.020593926679183,0.4303797468354432,0.4177215189873419,19,2,21,0.9047619047619048
608070,3B,33,11.764705882352942,23.64864864864865,28.125,3.020593926679183,0.4303797468354432,0.4177215189873419,19,2,21,0.9047619047619048
668804,LF,31,11.627906976744185,23.333333333333332,28.125,0.9177273671405592,0.4090909090909091,0.4000000000000001,5,0,5,1.0
668804,LF,31,11.904761904761905,23.489932885906036,27.607361963190186,0.9177273671405592,0.4090909090909091,0.4000000000000001,5,0,5,1.0
663586,3B,29,11.494252873563218,22.727272727272727,27.950310559006223,1.0350386455329983,0.4155844155844156,0.4025974025974025,5,0,5,1.0
677587,SS,25,11.764705882352942,23.026315789473685,27.27272727272728,-0.8765276601876305,0.3214285714285715,0.3095238095238093,8,5,13,0.6153846153846154
677587,SS,25,11.363636363636363,22.58064516129032,27.272727272727273,-0.8765276601876305,0.3214285714285715,0.3095238095238093,8,5,13,0.6153846153846154
677594,CF,25,11.494252873563218,23.809523809523814,29.411764705882348,1.2010839740365875,0.3974358974358974,0.3846153846153846,12,3,15,0.8
691594,3B,23,11.235955056179774,23.333333333333332,29.03225806451613,0.6097548039338381,0.4347826086956521,0.4202898550724637,5,1,6,0.8333333333333334
669477,LF,27,11.494252873563218,23.333333333333332,28.125,0.4102342731594612,0.3424657534246575,0.3287671232876713,8,1,9,0.8888888888888888
682177,3B,29,11.904761904761905,23.333333333333332,26.94610778443114,-0.8510066508732048,0.4565217391304348,0.4130434782608695,4,2,6,0.6666666666666666
687363,CF,25,12.5,24.475524475524477,29.605263157894736,1.158437448343714,0.4444444444444444,0.4444444444444444,8,3,11,0.7272727272727273
543760,2B,35,11.627906976744185,23.026315789473685,27.950310559006205,-0.4006039207002889,0.3599999999999999,0.3599999999999999,2,2,4,0.5
802415,LF,25,12.5,25.179856115107917,30.405405405405407,6.172686974144408,0.4423076923076924,0.4326923076923075,22,6,28,0.7857142857142857
701358,RF,23,11.764705882352942,24.13793103448276,29.411764705882348,1.3862043962299782,0.3928571428571429,0.3928571428571429,10,1,11,0.9090909090909091
665742,LF,27,11.363636363636363,22.87581699346405,26.94610778443114,-1.191067156176792,0.3492063492063492,0.3333333333333334,3,2,5,0.6
543807,DH,36,11.363636363636363,22.58064516129032,27.108433734939766,-1.0986575157516882,0.342857142857143,0.3285714285714287,4,2,6,0.6666666666666666
701398,1B,22,11.11111111111111,22.151898734177212,26.785714285714285,-1.1140470467829977,0.3132530120481928,0.2891566265060241,10,2,12,0.8333333333333334
681082,2B,28,11.627906976744185,23.489932885906036,28.662420382165607,5.023440635716369,0.3736263736263737,0.3736263736263737,14,0,14,1.0
664702,CF,31,11.627906976744185,23.972602739726028,29.605263157894736,0.7565265385640628,0.3863636363636363,0.3636363636363636,4,1,5,0.8
621020,SS,32,11.494252873563218,23.489932885906043,28.846153846153847,4.204429860675354,0.5000000000000001,0.4874999999999999,11,0,11,1.0
665487,RF,27,11.363636363636363,23.64864864864865,29.22077922077922,-0.4099549115226797,0.3917525773195877,0.3711340206185567,18,9,27,0.6666666666666666
665750,CF,27,11.11111111111111,23.972602739726028,30.0,2.378928740963404,0.5178571428571429,0.5178571428571429,6,2,8,0.75
665750,CF,27,12.048192771084338,24.305555555555557,28.846153846153847,2.378928740963404,0.5178571428571429,0.5178571428571429,6,2,8,0.75
677588,DH,25,12.195121951219512,23.972602739726028,28.481012658227847,0.498164576861838,0.3846153846153846,0.3846153846153846,3,1,4,0.75
657041,CF,30,11.494252873563218,23.64864864864865,29.411764705882355,1.1815957751809942,0.4838709677419354,0.467741935483871,4,1,5,0.8
678662,SS,24,11.627906976744185,23.026315789473685,28.125,0.6120873641523812,0.3846153846153847,0.3846153846153847,3,0,3,1.0
669707,SS,28,11.494252873563218,23.17880794701987,28.301886792452827,1.1732578291154938,0.3478260869565217,0.3478260869565217,6,0,6,1.0
545361,CF,34,11.764705882352942,23.809523809523814,29.22077922077922,-0.6258181770807184,0.3333333333333333,0.3076923076923078,6,0,6,1.0
663656,RF,29,11.904761904761905,22.87581699346405,26.16279069767442,0.658970840138478,0.3544303797468355,0.3544303797468355,4,0,4,1.0
668930,2B,26,12.048192771084338,23.972602739726028,28.301886792452834,0.7332042118591201,0.404040404040404,0.3939393939393939,9,3,12,0.75
607208,SS,33,11.235955056179774,24.305555555555557,30.405405405405407,2.75591798385418,0.3265306122448979,0.3265306122448979,15,2,17,0.8823529411764706
678246,3B,26,11.494252873563218,22.875816993464056,28.481012658227847,0.8231634135858403,0.5238095238095237,0.4999999999999999,7,1,8,0.875
662139,CF,29,11.627906976744185,23.333333333333332,27.108433734939766,0.2256984124869434,0.3733333333333333,0.3599999999999999,4,0,4,1.0
663837,CF,29,11.235955056179774,23.026315789473685,28.662420382165607,-0.1398013578754217,0.4509803921568627,0.4313725490196078,4,1,5,0.8
683011,SS,25,11.494252873563218,23.64864864864865,28.481012658227847,-0.0857916029980545,0.5135135135135136,0.4864864864864865,6,4,10,0.6
814439,CF,23,11.764705882352942,23.64864864864865,29.03225806451613,1.274005467477767,0.4130434782608694,0.4130434782608694,6,1,7,0.8571428571428571
691023,RF,24,11.494252873563218,23.972602739726028,29.411764705882355,1.6076575544832736,0.3564356435643563,0.3564356435643563,12,2,14,0.8571428571428571
670764,SS,29,12.195121951219512,23.809523809523807,27.950310559006212,2.339160516528405,0.5211267605633803,0.4929577464788733,14,2,16,0.875
