"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,runner_runs_tot,runner_runs_per_run,pos_group
"Jung, Josh",673962,140,TEX,3B,28,159,,4.73,25.8,-1.600046387950917,-0.010063184829879982,IF
"Schanuel, Nolan",694384,108,LAA,1B,24,144,,4.59,25.8,-0.6253844584255701,-0.004342947627955348,IF
"Hicks, Liam",689414,146,MIA,DH,27,155,,4.64,25.8,-4.50559835508496,-0.029068376484419095,DH
"Kelly, Carson",608348,112,CHC,C,31,105,,4.81,25.8,-0.6265998877634185,-0.005967617978699224,C
"Pasquantino, Vinnie",686469,118,KC,1B,28,93,,4.75,25.7,-1.3629375658483167,-0.014655242643530287,IF
"Aranda, Jonathan",666018,139,TB,1B,28,124,,4.56,25.6,-2.4239421543369546,-0.01954792059949157,IF
"Burleson, Alec",676475,138,STL,1B,27,162,,4.48,25.5,-0.2732926211737761,-0.0016869914887270132,IF
"Olson, Matt",621566,144,ATL,1B,32,146,,4.76,25.4,-0.4642589930341286,-0.003179856116672114,IF
"Freeman, Freddie",518692,119,LAD,1B,36,158,,4.72,25.3,-1.3709107768310047,-0.008676650486272182,IF
"Arenado, Nolan",571448,109,AZ,3B,35,126,,4.76,25.3,-1.198808947969863,-0.009514356729919547,IF
"Alonso, Pete",624413,110,BAL,1B,31,123,,4.82,25.3,-1.8036329869048664,-0.014663682820364768,IF
"Pederson, Joc",592626,140,TEX,DH,34,92,,4.59,25.2,-0.323310528307945,-0.0035142448729124456,DH
"Machado, Manny",592518,135,SD,3B,33,117,,4.77,25.1,-2.885690090107224,-0.02466401786416431,IF
"Paredes, Isaac",670623,117,HOU,3B,27,101,,4.96,25.0,-0.9262198024030678,-0.00917049309309968,IF
"Rumfield, TJ",681198,115,COL,1B,26,150,,4.69,25.0,-3.117636461707799,-0.020784243078051993,IF
"Alvarez, Yordan",670541,117,HOU,DH,29,93,,4.75,24.9,-3.647670942085472,-0.03922226819446744,DH
"France, Ty",664034,135,SD,1B,31,90,,4.9,24.8,-2.4384980056317174,-0.02709442228479686,IF
"Horwitz, Spencer",687462,134,PIT,1B,28,100,,4.75,24.9,-1.615467939949366,-0.016154679399493662,IF
"Naylor, Josh",647304,136,SEA,1B,29,149,,4.75,24.6,-1.11371282877546,-0.007474582743459464,IF
