"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,entity_name,team_name,start_year,end_year,runner_runs_tot,runner_runs_XB,runner_runs_SBX,N_runner_moved,runner_runs_XB_swipe,runner_runs_XB_snipe,runner_runs_XB_freeze,N_runner_moved_XB,runner_runs_SB2,runner_runs_SB3,simple_stolen_on_running_act_SB2,simple_stolen_on_running_act_SB3,N_runner_moved_SBX,runner_runs_per_run
"Ortiz, Joey",687401,158,MIL,SS,27,107,10.0,4.33,29.1,"Ortiz, Joey",MIL,2026,2026,-0.656079416388353,-0.1338072280197793,-0.5222721883685737,26,0.6990456566454134,0.0,-0.8328528846651927,15,-0.6527476275022219,0.1304754391336488,0.3913065566791651,0.4107089518199842,11,-0.006131583330732271
"DeLuca, Jonny",676356,139,TB,RF,27,86,19.0,4.28,29.0,"DeLuca, Jonny",TB,2026,2026,-0.0057115833050629,1.0683149653855368,-1.0740265486905998,28,1.2806744653478104,0.0,-0.2123594999622731,16,-1.1497394468108066,0.0757128981202075,-0.5061986382306307,0.2839069645560374,12,-6.641375936119651e-05
"Duran, Ezequiel",677649,140,TEX,SS,27,146,12.0,4.26,29.0,"Duran, Ezequiel",TEX,2026,2026,0.96715512284965,0.528450248411855,0.438704874437795,39,1.9533827700821904,-0.8247168554215561,-0.6002156662487789,29,0.5427188619067805,-0.1040139874689855,3.4907865593863585,-0.7503646259248269,10,0.006624350156504452
"Beavers, Dylan",687637,110,BAL,RF,24,63,1.0,4.23,29.0,"Beavers, Dylan",BAL,2026,2026,0.7308549285113828,1.393981332148062,-0.6631264036366793,27,1.824468956640476,0.0,-0.4304876244924138,20,-0.7992323091865916,0.1361059055499122,-1.4175505897205665,0.5737197835331526,7,0.01160087188113306
"Taveras, Leody",665750,110,BAL,CF,27,113,30.0,4.28,29.0,"Taveras, Leody",BAL,2026,2026,2.378928740963404,2.098414771983595,0.2805139689798094,37,2.7875834771339685,0.0,-0.6891687051503732,29,0.0721764227837648,0.2083375461960448,1.1403810583855043,0.7846096004432175,8,0.021052466734189416
"Merrill, Jackson",701538,135,SD,CF,23,135,11.0,4.24,28.9,"Merrill, Jackson",SD,2026,2026,4.103120099255894,2.121506610269738,1.981613488986156,47,2.5716529843631406,0.0,-0.4501463740934018,29,1.9286577905462217,0.0529556984399347,9.957939379506518,0.0688781102553643,18,0.030393482216710326
"Tatis Jr., Fernando",665487,135,SD,RF,27,173,20.0,4.32,28.9,"Tatis Jr., Fernando",SD,2026,2026,-0.4099549115226797,0.3446185551404293,-0.754573466663109,68,2.3994843897216303,-1.5202691571031075,-0.5345966774780937,38,-0.0619678193565625,-0.6926056473065464,4.746912117037598,0.0763290497441544,30,-0.0023696815694952585
"Waldschmidt, Ryan",814439,109,AZ,CF,23,56,1.0,4.31,28.9,"Waldschmidt, Ryan",AZ,2026,2026,1.274005467477767,0.6286628324303452,0.645342635047422,26,1.0389435820507205,0.0,-0.4102807496203757,19,0.6984019196808335,-0.0530592846334114,3.747538328020097,-0.3469489398778863,7,0.022750097633531554
"Carter, Evan",694497,140,TEX,CF,23,91,28.0,4.16,28.9,"Carter, Evan",TEX,2026,2026,3.2952236848348377,1.0384429960960542,2.256780688738784,38,1.7610029091358943,0.0,-0.72255991303984,23,1.7149809424637004,0.5417997462750834,7.66393703658334,2.545133666254649,15,0.036211249283899315
"Rodríguez, Julio",677594,136,SEA,CF,25,137,21.0,4.33,28.8,"Rodríguez, Julio",SEA,2026,2026,1.2010839740365875,0.3755857056044081,0.8254982684321793,46,1.8079337708822996,-0.7809964403522249,-0.6513516249256665,31,0.7721095382668438,0.0533887301653351,4.522170113770672,1.396447325541939,15,0.008767036306836406
"Gonzales, Nick",693304,134,PIT,3B,27,187,7.0,4.33,28.8,"Gonzales, Nick",PIT,2026,2026,0.6703527838648178,0.8142975476943115,-0.1439447638294937,36,2.54335544043046,-0.7936101398826652,-0.9354477528534834,32,-0.0635297003142647,-0.0804150635152289,-1.7859130034907325,-0.6505278139392228,4,0.003584774245266405
"Keaschall, Luke",807712,142,MIN,2B,23,157,1.0,4.25,28.8,"Keaschall, Luke",MIN,2026,2026,3.634384589788497,2.836653313566888,0.7977312762216089,48,3.590634799458236,0.0,-0.7539814858913458,35,0.7465105607881186,0.0512207154334897,3.7652669034449313,0.0515244512347952,13,0.023148946431773867
"Carrigg, Cole",694249,115,COL,CF,24,57,4.0,4.14,28.8,"Carrigg, Cole",COL,2026,2026,0.2619918482757131,0.9294855934524672,-0.6674937451767541,23,1.526173080533966,0.0,-0.5966874870814987,19,-0.6425866099590449,-0.0249071352177093,-1.379664261087343,-0.2057584957949987,4,0.004596348215363388
"Gelof, Zack",680869,133,ATH,3B,26,93,6.0,4.36,28.8,"Gelof, Zack",ATH,2026,2026,2.0665375858743893,0.9244996906791624,1.1420378951952266,32,2.0326087756400635,-0.7595835222439729,-0.3485255627169275,26,1.0039583080946464,0.13807958710058,3.4393595973039197,0.5897447506487961,6,0.022220834256713864
"Sanoja, Javier",691594,146,MIA,3B,23,142,17.0,4.23,28.7,"Sanoja, Javier",MIA,2026,2026,0.6097548039338381,0.6642528142842165,-0.0544980103503784,37,1.9176700621427043,-0.7739199738303022,-0.4794972740281858,30,-0.4419084146584373,0.3874104043080591,-1.6853319243355256,1.647040935499503,7,0.004294047915027029
"Chourio, Jackson",694192,158,MIL,LF,22,118,27.0,4.22,28.7,"Chourio, Jackson",MIL,2026,2026,1.3331057101344548,0.2104011516546288,1.122704558479826,37,1.914010394152599,-0.7979939848312791,-0.9056152576666912,30,1.0275629838892628,0.0951415745905642,2.636097460258503,0.3154634319111168,7,0.0112975060180886
