"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"Story, Trevor",596115,111,"BOS","SS",33,"64",,"4.41","27.9"
"Mayo, Coby",691723,110,"BAL","3B",24,"74",,"4.48","27.9"
"Kreidler, Ryan",668952,142,"MIN","SS",28,"87",,"4.43","27.9"
"Muncy, Max",691777,133,"ATH","3B",23,"53",,"4.47","27.9"
"Guzman, Denzer",694203,108,"LAA","3B",22,"56",,"4.47","27.9"
"Mullins, Cedric",656775,139,"TB","CF",31,"71","3","4.34","27.9"
"Walls, Taylor",670764,139,"TB","SS",29,"96",,"4.42","27.9"
"Saggese, Thomas",695336,138,"STL","LF",24,"28",,"4.32","27.9"
"Riley, Austin",663586,144,"ATL","3B",29,"127",,"4.55","27.8"
"Dezenzo, Zach",701305,117,"HOU","LF",26,"34",,"4.52","27.8"
"Marsee, Jakob",805300,146,"MIA","CF",25,"110",,"4.38","27.8"
"Call, Alex",669743,119,"LAD","LF",31,"64",,"4.35","27.8"
"Jensen, Carter",695600,118,"KC","C",22,"112",,"4.36","27.8"
"Suzuki, Seiya",673548,112,"CHC","RF",31,"117",,"4.40","27.8"
"Kuroda-Grauer, Joshua",811965,133,"ATH","3B",23,"37",,"4.44","27.8"
"Williams, Carson",700246,139,"TB","SS",23,"10",,,"27.8"
"Thomas, Alek",677950,109,"AZ","CF",26,"39",,"4.29","27.8"
"Neto, Zach",687263,108,"LAA","SS",25,"119",,"4.39","27.8"
"Lewis, Royce",668904,142,"MIN","1B",27,"91",,"4.32","27.8"
"Schuemann, Max",680474,147,"NYY","LF",29,"36",,,"27.8"
"Martin, Austin",668885,142,"MIN","RF",27,"124",,"4.49","27.8"
"Lopez, Nicky",670032,140,"TEX","2B",31,"86",,"4.21","27.8"
"Tena, José",677588,120,"WSH","DH",25,"86","1","4.25","27.7"
"Adames, Willy",642715,137,"SF","SS",30,"116",,"4.43","27.7"
"Smith, Josh",669701,140,"TEX","2B",28,"52",,"4.40","27.7"
"India, Jonathan",663697,118,"KC","2B",29,"14",,,"27.7"
"Jackson, Alex",656577,142,"MIN","C",30,"25",,"4.51","27.7"
"Ramírez, José",608070,114,"CLE","3B",33,"110",,"4.36","27.7"
"McCutchen, Andrew",457705,140,"TEX","",39,"20",,"4.51","27.7"
"Wilson, Weston",642215,136,"SEA","3B",31,"26",,"4.51","27.7"
"Hernaiz, Darell",687231,133,"ATH","SS",24,"40",,"4.33","27.7"
"Giménez, Andrés",665926,141,"TOR","SS",27,"115","1","4.30","27.7"
"Velázquez, Nelson",676369,138,"STL","LF",27,"29",,"4.46","27.7"
"Freeman, Tyler",671289,115,"COL","RF",27,"107",,"4.50","27.7"
"Young, Jared",676724,121,"NYM","1B",30,"79",,"4.36","27.7"
"Martínez, Angel",682657,114,"CLE","LF",24,"96",,"4.40","27.7"
"Garcia, Maikel",672580,118,"KC","3B",26,"117",,"4.50","27.7"
"Yorke, Nick",694377,134,"PIT","3B",24,"36",,"4.53","27.7"
"Williams, Alika",675961,133,"ATH","SS",27,"39",,"4.46","27.6"
"Ohtani, Shohei",660271,119,"LAD","DH",31,"134",,"4.23","27.6"
"Thompson, Sterlin",694514,115,"COL","DH",25,"30",,"4.43","27.6"
"Harris II, Michael",671739,144,"ATL","CF",25,"165","1","4.28","27.6"
"Schneemann, Daniel",682177,114,"CLE","3B",29,"87",,"4.42","27.6"
"Pereira, Everson",677592,145,"CWS","RF",25,"27",,"4.40","27.6"
"Rooker, Brent",667670,133,"ATH","DH",31,"47",,"4.57","27.6"
"Torres, Bryan",663494,138,"STL","LF",28,"30",,"4.35","27.6"
"Wetherholt, JJ",802139,138,"STL","2B",23,"164",,"4.24","27.6"
"Edman, Tommy",669242,119,"LAD","2B",31,"51",,"4.37","27.6"
"Millas, Drew",686452,120,"WSH","C",28,"57",,"4.41","27.6"
"Foscue, Justin",679822,140,"TEX","2B",27,"40",,"4.48","27.6"
"Bleday, JJ",668709,113,"CIN","LF",28,"82",,"4.41","27.5"
"Kim, Ha-Seong",673490,144,"ATL","SS",30,"21",,"4.53","27.5"
"Collins, Isaac",686555,118,"KC","LF",28,"120","1","4.45","27.5"
"Nootbaar, Lars",663457,138,"STL","LF",28,"59",,"4.30","27.5"
"Altuve, Jose",514888,117,"HOU","2B",36,"138","8","4.36","27.5"
"Bellinger, Cody",641355,147,"NYY","LF",30,"132",,"4.20","27.5"
"Bader, Harrison",664056,137,"SF","CF",32,"38",,"4.44","27.5"
"Durán, Rodolfo",660710,135,"SD","C",28,"35",,"4.47","27.5"
"Kiner-Falefa, Isiah",643396,111,"BOS","2B",31,"57",,"4.43","27.4"
"Wong, Connor",657136,111,"BOS","C",30,"69",,"4.48","27.4"
"Dingler, Dillon",693307,116,"DET","C",27,"145",,"4.51","27.4"
"Anthony, Roman",701350,111,"BOS","LF",22,"46",,"4.42","27.4"
"Ward, Taylor",621493,110,"BAL","LF",32,"155",,"4.50","27.4"
"Rivas, Leo",660844,136,"SEA","3B",28,"33",,,"27.4"
"Mayer, Marcelo",691785,111,"BOS","2B",23,"92",,"4.45","27.4"
"Isbel, Kyle",664728,118,"KC","CF",29,"64",,"4.48","27.4"
