"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"Reyes, Felix",694025,143,"PHI","LF",25,"12",,,"28.3"
"Cronenworth, Jake",630105,135,"SD","2B",32,"80","1","4.30","28.3"
"Vargas, Miguel",678246,145,"CWS","3B",26,"124",,"4.39","28.3"
"Bazzana, Travis",683953,114,"CLE","2B",23,"108","3","4.24","28.3"
"Vierling, Matt",663837,116,"DET","CF",29,"93","1","4.50","28.3"
"Moniak, Mickey",666160,115,"COL","LF",28,"73","1","4.37","28.3"
"Hernández, Teoscar",606192,119,"LAD","LF",33,"95","1","4.40","28.3"
"Winn, Masyn",691026,138,"STL","SS",24,"137","3","4.35","28.3"
"Fulford, Braxton",690924,115,"COL","C",27,"17","1",,"28.3"
"Alexander, Blaze",677942,110,"BAL","3B",27,"86","3","4.43","28.3"
"Haase, Eric",606992,137,"SF","C",33,"21",,"4.48","28.3"
"Meadows, Parker",678009,116,"DET","CF",26,"16",,,"28.3"
"Pages, Andy",681624,119,"LAD","CF",25,"153",,"4.38","28.3"
"Henderson, Gunnar",683002,110,"BAL","SS",25,"169","2","4.25","28.3"
"Watson, Kahlil",696135,114,"CLE","RF",23,"27",,"4.30","28.3"
"McGonigle, Kevin",805808,116,"DET","SS",21,"155","3","4.35","28.2"
"Edwards, Xavier",669364,146,"MIA","2B",26,"178","4","4.23","28.2"
"Keith, Colt",690993,116,"DET","3B",24,"109","1","4.32","28.2"
"Pérez, Wenceel",672761,116,"DET","RF",26,"69",,"4.28","28.2"
"Johnson, Bryce",669369,135,"SD","RF",30,"20","1",,"28.2"
"Lee, Hao-Yu",701678,116,"DET","2B",23,"67",,"4.42","28.2"
"Nimmo, Brandon",607043,140,"TEX","RF",33,"155","7","4.22","28.2"
"Ramírez, Pedro",699393,112,"CHC","2B",22,"50","2","4.25","28.2"
"Loftin, Nick",679845,118,"KC","3B",27,"114",,"4.53","28.2"
"Realmuto, J.T.",592663,143,"PHI","C",35,"105",,"4.44","28.2"
"Antonacci, Sam",803011,145,"CWS","LF",23,"146",,"4.33","28.2"
"Sullivan, Brett",664954,115,"COL","C",32,"48",,"4.35","28.2"
"Caissie, Owen",683357,146,"MIA","RF",23,"65",,"4.29","28.2"
"Shewmake, Braden",669699,158,"MIL","SS",28,"32",,"4.43","28.2"
"Thomas, Colby",687515,133,"ATH","RF",25,"34",,"4.33","28.2"
"Haggerty, Sam",664059,140,"TEX","",32,"16","1",,"28.2"
"Castro, Willi",650489,115,"COL","2B",29,"107","1","4.26","28.2"
"Beck, Jordan",687597,115,"COL","LF",25,"28",,"4.41","28.2"
"Marsh, Brandon",669016,143,"PHI","LF",28,"125",,"4.39","28.1"
"Williamson, Ben",810938,139,"TB","2B",25,"116",,"4.50","28.1"
"Abreu, Wilyer",677800,111,"BOS","RF",27,"135","3","4.29","28.1"
"Norby, Connor",681393,146,"MIA","1B",26,"74",,"4.50","28.1"
"Reynolds, Bryan",668804,134,"PIT","LF",31,"157",,"4.38","28.1"
"Semien, Marcus",543760,121,"NYM","2B",35,"103",,"4.42","28.1"
"Chapman, Matt",656305,137,"SF","3B",33,"133",,"4.44","28.1"
"Caballero, José",676609,147,"NYY","SS",29,"116",,"4.27","28.1"
"Adell, Jo",666176,108,"LAA","RF",27,"145",,"4.53","28.1"
"O'Neill, Tyler",641933,110,"BAL","RF",31,"53",,"4.49","28.1"
"Sogard, Nick",686765,111,"BOS","2B",28,"21",,,"28.1"
"Black, Tyler",672012,158,"MIL","DH",25,"14",,,"28.0"
"Nishida, Rikuu",807747,145,"CWS","RF",25,"13","2",,"28.0"
"Schmitt, Casey",669477,137,"SF","LF",27,"114",,"4.53","28.0"
"Lowe, Josh",666139,108,"LAA","LF",28,"48","2","4.30","28.0"
"Durbin, Caleb",702332,111,"BOS","3B",26,"165",,"4.42","28.0"
"Outman, James",681546,116,"DET","CF",29,"55","1","4.28","28.0"
"Valdez, Esmerlyn",699013,134,"PIT","RF",22,"41",,"4.54","28.0"
"Callihan, Tyler",682997,134,"PIT","RF",26,"28",,,"28.0"
"Cole, Zach",805904,117,"HOU","LF",25,"15","1",,"28.0"
"Laureano, Ramón",657656,135,"SD","LF",31,"59",,"4.30","28.0"
"House, Brady",691781,120,"WSH","3B",23,"73",,"4.45","28.0"
"Tovar, Ezequiel",678662,115,"COL","SS",24,"112",,"4.41","27.9"
"Meyers, Jake",676694,117,"HOU","CF",30,"52",,"4.49","27.9"
"Slater, Austin",596103,139,"TB","RF",33,"26",,"4.43","27.9"
"Jarvis, Jim",805347,144,"ATL","SS",25,"44",,"4.32","27.9"
"Jiménez, Leo",677870,146,"MIA","3B",25,"49",,"4.46","27.9"
"Clement, Ernie",676391,141,"TOR","2B",30,"185","1","4.35","27.9"
"Mesa Jr., Victor",683748,139,"TB","RF",24,"35",,"4.32","27.9"
"Cowser, Colton",681297,110,"BAL","CF",26,"65",,"4.23","27.9"
"Davis, Henry",680779,134,"PIT","C",26,"67",,"4.51","27.9"
"Garcia, Jhostynxon",691373,134,"PIT","CF",23,"17",,,"27.9"
"McKinstry, Zach",656716,116,"DET","2B",31,"107",,"4.31","27.9"
"Young, Cole",702284,136,"SEA","2B",22,"146",,"4.30","27.9"
"Happ, Ian",664023,112,"CHC","LF",31,"138",,"4.38","27.9"
"Myers, Dane",667472,113,"CIN","CF",30,"54",,"4.42","27.9"
"Clemens, Kody",665019,142,"MIN","1B",30,"108","1","4.32","27.9"
